Название группы/объединения,Аббревиатура названия,Начало работы,Конец работы,Описание группы/объединения,Основные участники группы,Официальное/неофициальное,Библиография,Территориальность,Современные названия,Latitude,Longitude
Союз свободных художников Перми,,,,"Союз основан в начале 1918 по инициативе художников Н. М. Гущина и И. А. Семирякова при участии бывших членов Пермского общества любителей живописи, ваяния и зодчества. Главной задачей выдвигал воспитание и обучение молодых) художников.
В сентябре 1918 усилиями союза открылось Народное худо-жественное училище, в котором преподавали Н. М. Гущин, А. Н. Зеленин, Д. Ф. Николаев, А. А. Седов, И. И. Туранский, И. П. Чирков. В училище обучалось до 300 человек. По инициативе правления союза проводились художественные конкурсы, в частности, состоялся конкурс плаката к 1-й годовщине Октября.
Деятельность союза прекратилась в декабре 1918 с установлением Уфимской директории. Работа училища возобновилась после поражения Колчака в июле 1919.","Н. М. Гущин, А. Н. Зеленин, Д. Ф. Николаев, А. А. Седов, И. И. Туранский, И. П. Чирков, И. А. Симиряков",,"Художники Перми/Сост. Н. В. Казаринова. Пермь, 1981. С. 5. * Казаринова Н. В. Художники Перми. Л., 1987. С. 19—20.*Пашкова Л. Буйство красок (к ЮО-летию со дня рождения Н. М. Гущина)// Волга, 1988. № 7, С. 173—175.
",Пермь,Пермь,58.0092,56.2270
Союз скульпторов-художников,,,,"Союз основан по инициативе М. Ф. Блоха и М. А. Керзина. Объединял, в основном, скульпторов академического направления. Учредительное собрание состоялось 8 апреля 1917 в залах Академии художеств.
Члены-учредители: А. И. Адамсон, И. И. Андреолети, В. А. Беклемишев, М. Ф. Блох, Э. А. Блох, А. В. Вернер, И. Гинцбург, М. Л. Диллон, Л. А. Дитрих, Л. А. Ильин, М. А. Дерзив, И. О. Дюфферле, Ф. К. Лехт, В. В. Лишев, Д. Н. Малашкин, Е. И. Малышев, М. Г. Манизер, А. Т. Матвеев, Б. М. Микешин, А. М. Опекушин, Л. В. Позен, В. Ф. Разумовский, В. Л. Симонов, М. М. Страховская, М. Я. Харламов, Л. В. Шервуд, С. С. Эскин, Б. И. Яковлев, Н. Н. Ясиновский и др. Председателем союза был избран Дерзин (которого позже сменил Симонов), его заместителем — Шервуд, секретарем — Манизер.
Из проекта устава, составленного Манизером: «Союз скульпторов-художников ставит своей целью, объединив всех скульпторов-художников России, содействовать: 1) развитию творческих сил народа в этой области путем: устройства выставок, художественной промышленности и кустарных школ, мастерских, лекций, выпуска художественных изданий и пр.; 2) поддержанию скульптуры как искусства в Русском государстве на должной высоте путем контроля над исполнением и охраной памятников и других правительственных заказов и над всеми начинаниями как правительства, так и общественных организаций в этой области; 3) экономическому обеспечению членов союза, как необходимому для свободной творческой работы условию, путем ограждения авторского права, распределения заказов, устройства мастерских, формовских и литейных, шировой взаимопомощи и пр.». Союз планировал устроить литейный завод и открыть специальные архитектурные курсы для скульпторов, а также организовать классы и лекции для кустарей.
Весной 1917 общество вошло в Союз деятелей искусств.","А. И. Адамсон, И. И. Андреолети, В. А. Беклемишев, М. Ф. Блох, Э. А. Блох, А. В. Вернер, И. Гинцбург, М. Л. Диллон, Л. А. Дитрих, Л. А. Ильин, М. А. Дерзив, И. О. Дюфферле, Ф. К. Лехт, В. В. Лишев, Д. Н. Малашкин, Е. И. Малышев, М. Г. Манизер, А. Т. Матвеев, Б. М. Микешин, А. М. Опекушин, Л. В. Позен, В. Ф. Разумовский, В. Л. Симонов, М. М. Страховская, М. Я. Харламов, Л. В. Шервуд, С. С. Эскин, Б. И. Яковлев, Н. Н. Ясиновский, М. А. Керзин",,"ЦГИА, ф. 794, on. 1, д. 42, л. 239—249 * Лапшин, 355.
Речь, 1917, 3 мая. * Вечернее время, 1917, 1 июня.
",Петроград,Санкт-Петербург,,
Союз советских художников (ССХ),ССХ,1930,1932,"Объединение художников, вышедших из АХР, ставившее задачу продолжения и развития реалистических традиций.","А. В. Григорьев, П. М. Шухмин, Н. Г. Котов, П. И. Котов, Н. И. Дормидонтов, Г. К. Савицкий, К. С. Елисеев",Официальное,"Маца, 426—427, 580—581 * Михайлов, 155—156.*
Каталог 1-й выставки общества «Союз советских художников». М., 1931 (Краткие биографии участников, портреты).*
Халаминский Ю. Митрофан Борисович Греков. М., 1956. С. 79—86.*
Д. Н. Кардовский об искусстве: Воспоминания, статьи, письма. М., 1960. С. 215—218, 305.*
Тимошин Г. А. М. Б. Греков: Жизнь и творчество. М., 1961. С. 238—250. *Манин В. Рождение творческого союза//Искусство, 1967. № 3. С. 50—52.*АХРР: Сборник воспоминаний, статей, документов. М., 1973. С. 116—117.
",Москва; Ленинград,Москва; Санкт-Петербург,55.755826; 59.9310584,37.6173; 30.3609097
Союз художников-армян,,1916,1921,"Согласно уставу, утвержденному 23 февраля 1916, ставил целью: «а) Распространение среди армян художественного об­ разования посредством живописи, скульптуры, архитектуры и графических искусств; б) Воссоздание в искусстве и в художе­ ственной промышленности армянского стиля; в) Приближение в произведениях искусств к национальному духу и быту». Пред­ полагалось учредить постоянные картинные галереи-музеи в городах Закавказья, устраивать периодические выставки ху­ дожников армянской и других национальностей, выпускать и распространять периодические художественные издания, про­ водить благотворительные лотереи, спектакли и музыкальные вечера.
Союз провел семь выставок: первая (1917), вторая (1919), четвертая (1921) и седьмая (1922) состоялись в Тифлисе; третья (1919) и пятая (1921) — в Эриванщ шестая (1921) — в Константинополе (Стамбуле). В выставках участвовало бо­ лее ста художников, в том числе: А. С. Акопян, С. А. Аракелян, В. Г. Ахикян, О. Багдасарян, С. Бабаев, В. Н. Гайфеджян, А. М. Гюрджян, С. С. Киракосян, Г. Левонян, М. С. Маркарян, И. Мезурнян, М. С. Сарьян, С. М. Тархарарян, Е. М. Татевосян,, Ф. П. Терлемезян, С. К. Хачатрян, В. Г. Ходжавекян, М. М. Ху- нунц, Г. М. Шарбабчян, Э. П. Шайн, Г. Б. Якулов и др. Кар­ тины, присланные в 1921 на выставку в Эривань, составили основу художественного отдела Музея Армении. В 1918 союз; имел в Нахичевани-на-Дону филиал, в который входили С. М. Агаджанян, Л. А. Аладжалов, Г. А. Арцатбанян, Т. В. Лу- сегенов, А. К. Ованесов, А. Г. Черчопов, Г. И. Шилтян и др.
М. С. Сарьян писал: «Это товарищество было одним из важнейших явлений культуры армянского народа и имело ис­ торическое значение. Едва оставшийся в живых народ стре­ мился сплочением прогрессивных духовных сил залечить свои, тяжелые раны».
С окончательным установлением Советской власти в За­ кавказье основное ядро объединения обосновалось в Эривани. В 1921 тифлисская группа союза была преобразована в худо­ жественную секцию Дома армянского искусства. (Айартун).","Л. Азарапетян, Г. М. Шарбабчян, Д. Г. Числиев, А. С. Акопян, С. А. Аракелян, В. Г. Ахикян, О. Багдасарян, С. Бабаев, В. Н. Гайфеджян, А. М. Гюрджян, С. С. Киракосян, Г. Левонян, М. С. Маркарян, И. Мезурнян, М. С. Сарьян, С. М. Тархарарян, Е. М. Татевосян, Ф. П. Терлемезян, С. К. Хачатрян, В. Г. Ходжавекян, М. М. Хунунц, Г. М. Шарбабчян, Э. П. Шайн, Г. Б. Якулов
",Официальное,"Выставки, 85, 87, 104*Ремпель, 20—22, 164.*
Тифлисский листок, 1915, 30; дек.*
Устав Союза художников-армян. Тифлис, 1916 (рус. и арм.).*
Каталог первой выставки Союза художников-армян. Тифлис, 1917 (рус. и арм.).*
Каталог 2-й выставки картин Союза художников-армян. Тифлис, 1919 (рус. и арм.).*
Сарьян М. С. Из моей жизни. М., 1985. С. 186, 194—198, 214.",Тифлис,Тбилиси,41.6938026,44.80151679999999
«Среда» (Художественный кружок «Среда»),,1886,1924,"Кружок был задуман как художественный клуб,
где еженедельно проводились рисовальные вечера, устраива­ лись музыкальные концерты и литературные чтения. Ему пред­ шествовали «художественные пятницы», устраиваемые в начале 1880-х членами МОЛХ, а затем — «субботы», организуемые усилиями актера, литератора и скульптора-любителя К. С. Ши- ловского (Лошивского). В 1886, когда эти начинания захирели, инициатива перешла в руки коллекционера В. Е. Шмаровина, который начал устраивать у себя художественные вечера по средам. Вскоре к «шмаровинцам» присоединились члены кружка Шиловского и передали им шуточные реликвии своих «суббот» — бубен и гимн «Недурно пущено».
К концу первого года по инициативе С. С. Голоушева (Сер­ гея Глаголя) кружок получил название «Среда». Он же пред­ ложил выработать устав и официально заявить об обществе. Однако члены кружка предпочли сохранить интимность своих собраний и ограничились принятием совместного письменного постановления, в котором определили порядок продажи ри­ сунков, размер взносов и другие организационные моменты. Все рисунки, выполненные на «средах», строго регистрировались, поступали в фонд кружка и могли быть проданы либо приглашенным гостям, либо через аукционы, выставки или художественные магазины. 20 % от вырученных денег посту­ пало в фонд кружка, остальная сумма причиталась автору. С 1892 на «средах» велись «протоколы» — плод совместного рисования на большом листе картона. «Протоколы» часто по­ свящались каким-либо знаменательным событиям или юбилеям.
У истоков «сред» стояли художники Н. А. Богатов, Н. А. Клодт, К. А. Коровин, И. И. Левитан, А. С. Степанов, С. И. Ягужинский, критик С. С. Голоушев, актер А. П. Ленский, писатель В. А. Гиляровский и др. В разные годы в кружок входили члены ТПХВ, МОЛХ, СРХ и МТХ: М. X. Аладжалов, Апсит (А. П. Петров), К- С. Высотский, М. М. Гермашов,
А. С. Голубкина, К. Ю. Клевер, Н. К. Константинов, А. И. Крав­ ченко, И. И. Крылов, С. Е. Леднев-Щукин, И. А. Малютин, Д. С. Моор, И. Н. Павлов, П. И. Петровичев, В. А. Симов, А. А. Синцов, В. И. Соколов, Н. И. Струнников, В. Я. Су- реньянц, Л. В. Туржанский, М. И. Шестеркин и др. Число постоянных членов кружка обычно доходило до тридцати. Среди частых гостей были: Ф. И. Шаляпин, В. Ф. Комиссар- жевская, М. А. Лохвицкая, Н. А. Обухова, И. А. Бунин, К. Д. Бальмонт, В. Я. Брюсов, М. А. Волошин, В. И. Суриков, Н. Н. Каразин, А. Е. Архипов, Ап. М. Васнецов, многие другие .актеры, писатели и художники. В 1888—1889 кружок проводил
совместные вечера с Обществом искусства и литературы, кото­ рое в дальнейшем сосредоточилось на театральной деятель­ ности.
В 1897 кружок организовал в Манеже первую публичную выставку рисунков, выполненных на «средах». Вскоре после этого рисунки экспонировались на юбилейной выставке Импе­ раторского общества охотников. В 1900—1910-е кружок провел несколько коммерческих и благотворительных выставок, в том числе «Выставку-продажу в пользу московских детских прию­ тов» (1903), «Выставку в пользу санитарных отрядов на Даль­ нем Востоке» (1904) и «Выставку в пользу Иверской общины •сестер милосердия» (1914). В 1911 в связи с 25-летием кружка состоялась обширная выставка рисунков, эскизов и акварелей из его фондов. К этому времени на «средах» в общей сложности побывало более 20 тысяч человек; его членами было создано около 5000 произ­ ведений и оформлено до 400 «художественных протоколов». В честь юбилея была установлена стипендия кружка бедней­ шему ученику МУЖВЗ.
Вскоре после юбилея Московская городская управа предло­ жила кружку получить официальный статус. 20 февраля 1912 был утвержден устав, в котором указывалась цель общества:
«содействие процветанию и распространению чистого и при­ кладного художества и сближению художников с любителями». В правление общества вошли Н. А. Богатов (казначей), кн. В. Д. Голицын, Г. А. Рижский (секретарь) и С. И. Ягужин- ский. Председателем правления стал В. Е. Шмаровин.
Последняя выставка кружка состоялась в октябре 1918 в салоне у Покровских ворот. «Среды» продолжались вплоть до смерти Шмаровина в октябре 1924. По его завещанию ху­
дожественный фонд кружка был передан в ГТГ.","Н. А. Богатов, Н. А. Клодт, К. А. Коровин, И. И. Левитан, А. С. Степанов, С. И. Ягужинский, С. С. Голоушев, А. П. Ленский, В. А. Гиляровский, М. X. Аладжалов, Апсит (А. П. Петров), К. С. Высотский, М. М. Гермашов, А. С. Голубкина, К. Ю. Клевер, Н. К. Константинов, А. И. Кравченко, И. И. Крылов, С. Е. Леднев-Щукин, И. А. Малютин, Д. С. Моор, И. Н. Павлов, П. И. Петровичев, В. А. Симов, А. А. Синцов, В. И. Соколов, Н. И. Струнников, В. Я. Суреньянц, Л. В. Туржанский, М. И. Шестеркин, Ф. И. Шаляпин, В. Ф. Комиссаржевская, М. А. Лохвицкая, Н. А. Обухова, И. А. Бунин, К. Д. Бальмонт, В. Я. Брюсов, М. А. Волошин, В. И. Суриков, Н. Н. Каразин, А. Е. Архипов, Ап. М. Васнецов, кн. В. Д. Голицын, Г. А. Рижский, С. И. Ягужинский, В. Е. Шмаровин
",Официальное,"Выставки, 17 * Лапшин, 350, 474.
Галкин М. 25-летний юбилей художественного кружка «Среда»//Известия Общества преподавателей графических искусств. 1911. No 3. С. 77—80 * Становление социалистического реализма в советском изобразительном ис­ кусстве: Сборник статей. М., I960'. С. 233—234.*
Павлов И. Н. Жизнь русского гравера. М., 1963. С. 199—20'1.*
Киселева Е. «Среды» московских художников. Л., 1976.*
Гиляровский В. А. Трущобные люди. Москва и москвичи. Кишинев, 1988. С. 496—500.",Москва,Москва,55.755826,37.6173
«Среда» (Севастопольский художественный кружок «Среда»),,1912,1914,"Кружок был основан местными художниками
с целью «распространения художественного образования и раз­ вития художественного вкуса в обществе». Одной из его задач считалась забота об охране памятников старины. К началу 1913 он объединял более 130 членов. Основной формой его работы стали совместные рисовальные вечера по средам. 12 февраля 1913 по инициативе художников В. П. Жукова, М. Н. Протопопова и И. П. Федорова-Керченского кружок про­ вел художественный вечер, сбор от которого пошел в фонд организуемых при нем рисовальных классов. Позже члены
кружка планировали учредить мастерскую художественных ре­ месел и музей. Помощь в этом намеревался оказать известный меценат князь Н. А. Гедройц.
В марте 1913 и марте 1914 кружок провел выставки, в ко­ торых участвовали М. А. Алисов, С. В. Бакалович, Н. Д. Дмит- риев-Оренбургский, С. М. Дудин, В. И. Жуков, Ф. С. Зозулин, К. Я. Крыжицкий, М. Н. Протопопов, И. П. Федоров-Керченский,
В. А. Фельдман и др.","М. А. Алисов, С. В. Бакалович, Н. Д. Дмитриев-Оренбургский, С. М. Дудин, В. И. Жуков, Ф. С. Зозулин, К. Я. Крыжицкий, М. Н. Протопопов, И. П. Федоров-Керченский, В. А. Фельдман ",Официальное,"Шуб (Шубин М.). В художественном кружке «Среда»//Крымский вестник, 1913, 15 мая.*
Шубин М. Новое просветительное учреждение//Крымский вестник, 1913, 26 мая.*
Выставка художественного кружка «Среда»//Крымский вестник, 1914, 5 марта.*
",Севастополь,Севастополь,44.61665,33.525367
Ставропольский кружок любителей изящных искусств,,1897,1908,"Кружок возник в начале 1897 по инициативе
местной интеллигенции. Ставил целью: «а) служить сближению деятелей в области изящных искусств и лиц, интересующихся последними; б) содействовать развитию и распространению искусств; в) оказывать помощь желающим совершенствоваться в них и г ) доставлять эстетическое удовольствие и развлече­ ние». Сферой деятельности кружка считались музыка, пение, рисование, живопись, ваяние, драматическое искусство и ли­
тература.
Устав кружка был утвержден 6 апреля 1900. В выработке
его проекта участвовал осетинский художник и поэт К. Л. Хе- тагуров, по инициативе которого при кружке были открыты классы музыки, пения и рисования.
Кружковцы устраивали литературно-музыкальные и танце­ вальные вечера, концерты, спектакли и детские утренники. В 1898 организовали «1-ю городскую выставку», на которой экспонировались краеведческие материалы, а также работы иностранных и русских живописцев, в том числе местных ху­ дожников В. Шохиной-Остроумовой и В. И. Смирнова. В 1908 члены кружка участвовали в «1-й губернской художественной выставке».","К. Л. Хетагуров, В. Шохина-Остроумова, В. И. Смирнов",Официальное,"ЦГИА, ф. 1284, оп. 223, 1897, д. 97.* Северный Кавказ, 1897, No 12, No 17, No 78; 1899, No 5.* Бендик Б. А. Художники Ставрополя. Л., 1982. С. 15.",Ставрополь,Ставрополь,44.61665,33.525367
«Стрелец» (Ассоциация художников «Стрелец»),,1922,,"Ассоциация создана членами Коммуны творче­ ства козловских художников С. Г. Архиповым, С. С. Варсо- нофьевым и В. М. Окороковым при участии А. М. Герасимова. В 1922 провела в Козлове художественную выставку.","С. Г. Архипов, С. С. Варсонофьев, В. М. Окороков, А. М. Герасимов",Официальное,"Михайлов В. Художники Тамбовского края. Л., 1976.","Козлов, Тамбовская губ.",Мичуринск,52.8930342,40.4980963
«Супремус» (Общество художников «Супремус»),,1916,1917,"Идея создания общества «Супремус» (от латин­
ского «supremus» — «наивысший») и одноименного журнала под редакцией К. С. Малевича зародилась после выставки «Ноль — десять» («Последняя футуристическая выставка кар­ тин 0,10/Ноль — десять»), состоявшейся в декабре 1915 — ян­ варе 1916 и ознаменовавшей переход к беспредметному твор­ честву и супрематизму. Ядро задуманного общества должны были составить единомышленники Малевича: Н. М. Давыдова, И. В. Клюн (Клюнков), М. И. Меньков, В. Е. Пестель, Л. С. По­ пова, О. В. Розанова, Н. А. Удальцова, а также скульптор А. П. Архипенко. В журнале предполагали участвовать М. В. Матюшин и Алягров (Р. О. Якобсон).
Планы общества обсуждались на собраниях кружка вплоть до весны 1917, однако оно не было создано из-за организационных трудностей. Осенью 1917 группа Малевича заняла ведущее положение  в обществе «Бубновый валет» и участвовала в его последней выставке.","Н. М. Давыдова, И. В. Клюн, М. И. Меньков, В. Е. Пестель, Л. С. Попова, О. В. Розанова, Н. А. Удальцова, А. П. Архипенко",Неофициальное,"Малевич К. С. Письма к М. В. Матюшину/Публ. Е. Ф. Ковтуна// Ежегодник РО Пушкинского Дома на 1974 г. Л., 1976. С. 177—196.",Москва,Москва,55.755826,37.6173
Таганрогское артистическое общество,,1898,1909,"Общество основано местной интеллигенцией. Ставило целью «содействовать распространению музыкального, ■сценического и художественного образования и развитию вкуса к музыке, драматическому искусству, живописи, ваянию и зод­
честву и другим художествам в г. Таганроге». Устав был утвер­ жден 27 марта 1898. Председателем общества были последо­ вательно: меценатка А. В. Ген, присяжный поверенный А. С. Зо­ лотарев и инженер Г. 3. Хандрин. В правление входил британ­ ский консул В. Г. Гент. Общество проводило семейные вечера, устраивало любительские концерты и лекции по искусству.
С февраля 1902 при нем работали рисовальные классы.","А. В. Ген, А. С. Золотарев, Г. 3. Хандрин, В. Г. Гент",Официальное,"Устав Таганрогского артистического общества. Таганрог, 1898. Памятная книжка Области Войска Донского на 1903... 1908.",Таганрог,Таганрог,47.2125752,38.9159658
Тамбовское общество любителей художеств,,1907,1916,"Общество учреждено в начале 1907 по инициа­ тиве художников и любителей искусства. Устав, утвержденный 5 февраля 1907, предусматривал создание художественной сту­ дии, мастерских, картинной галереи и музея, регулярное устрой­ ство выставок. Сферой деятельности общества считалась живо­ пись, ваяние, зодчество, художественное фото и прикладное искусство. Первым председателем правления стал врач и обще­ ственный деятель И. М. Потапов.
С октября 1907 общество проводило ежегодные выставки, в которых участвовали местные художники: М. А. Антонов, М. С. Иванов, В. Н. Кожухов, А. Д. Макарьевский, П. М. Мат­ веев, П. П. Мошков, П. Д. Мягков, С. И. Паевский, С. А. По­ бедоносцев, С. Т. Соколов, П. Ф. Федоровский, Т. В. Цаплин, Н. М. Шевченко и др. С 1910 на них экспонировались работы москвичей: А. Е. Архипова, Ап. М. Васнецова, С. Ю. Жуков­ ского, К- А. Коровина, С. В. Ноаковского, В. Д. Поленова, А. В. Средина, К- В. Туржанского. При обществе работала художественная студия под руководством Н. М. Шевченко.
Общество закрылось в конце 1916. С октября 1918 многие его бывшие члены преподавали в губернской рисовальной
школе.","И. М. Потапов, М. А. Антонов, М. С. Иванов, В. Н. Кожухов, А. Д. Макарьевский, П. М. Матвеев, П. П. Мошков, П. Д. Мягков, С. И. Паевский, С. А. Победоносцев, С. Т. Соколов, П. Ф. Федоровский, Т. В. Цаплин, Н. М. Шевченко",Официальное,"ЦГИА, ф; 789, 1907, оп. 13, д. 66.*Отчеты о деятельности Тамбовского общества любителей худо­ жеств за 1909—1910, 1911. Тамбов, 1911, 1912. *Каталог VI периодической художественной выставки картин Тамбовского) общества любителей художеств и III выставки Тамбовского фотографиче­ ского общества. Тамбов, 1913.*
Каталог VII периодической выставки картин Тамбовского общества люби­ телей художеств. Тамбов, 1914.*
Михайлов В. Художники Тамбовского края. Л., 1976. С. 31—32, 40—41.",Тамбов,Тамбов,52.7371109,41.4396142
Тверской общественно-педагогический кружок,,1909,1913,"Общественно-педагогический кружок был соз­ дан в 1907 с целью «развития теории и практики воспитания и обучения». Его устав был утвержден 31 июля 1907. В марте
19о9 при кружке организовалась Комиссия по устройству вы­ ставок, в которую вошли художники 3. М. Богдановская,. Е. М. Карцева, Е. Ф. Курова, М. П. Потемкина, А. И. Штур­ ман, учителя местных гимназий и училищ. Председателем комиссии стал городской архитектор А. П. Федоров.
В 1909—1913 усилиями комиссии ежегодно устраивались «Художественные и художественно-промышленные выставки», сбор от которых накапливался в специальный выставочный фонд. В выставках участвовали местные художники С. А. Андр- жиевская, 3. М. Богдановская, Э. В. Домбровская, В. К. Жу­ ков, Е. М. Карцева, Е. Ф. Курова, Е. Н. Никифоров, М. П. По­ темкина, П. И. Румянцев, А. И. Штурман, однако основную часть экспозиции составляли работы москвичей и петербуржцев
(К. Ф. Богаевский, В. А. Ватагин, И. С. Ефимов, Д. И. Митро­ хин, С. В. Ноаковский, В. Д. Поленов, Ф. И. Рерберг и др.). В .3-й и 4-й выставках (1911 и 1912) участвовала большая группа художников «Бубнового валета»: Д. Д. Бурлюк, Н. С. Гончарова, П. П. Кончаловский, А. В. Куприн, М. Ф. Ла­ рионов, И. И. Машков, М. С. Сарьян, Р. Р. Фальк и др. Экс­ понировались произведения прикладного искусства и кустар­ ных промыслов.
В кружке организовывались лекции по искусству. В 1913 для его членов были созданы рисовальные классы, в которых преподавала О. Н. Глазунова.","З. М. Богдановская, Е. М. Карцева, Е. Ф. Курова, М. П. Потемкина, А. И. Штурман",Официальное,"Устав Тверского общественно-педагогического кружка. Тверь, 1907. *Отчеты по устройству первой... третьей Тверской художественной и худо­жественно-промышленной выставок. Тверь, 1910... 1912.*
Каталоги I... V Тверской художественной и художественно-промышленной выставок. Тверь, 1909... 1913.",Тверь,Тверь,56.85872140000001,35.9175965
Тифлисское общество изящных искусств,,1912,1918,"Общество объединяло художников разных на­ правлений и любителей искусства. Ставило целью «содейство­ вать развитию изящных искусств на Кавказе». 15 мая 1912 был утвержен устав, а 29 мая состоялось учредительное собрание. Члены-учредители: К. А. Горбачев, К. М. Занис,. Р. К. Зоммер, А. С. Матиясевич, Г. П. Месхи, М. О. Микаэлян, Г. А. Милохов, А. Н. Мирзоев, М. И. Савенков, А. А. Сидоренко, Ф. Н. Ходо- рович, Б. Г. Шебуев и А. С. Шестаков. Первым председателем общества стала А. П. Петерсон (позже общество возглавляла Ф. П. Агапьева, затем М. А. Рохлина).
При обществе имелось бюро для приема заказов на худо­ жественные работы. Устраивались спектакли, концерты, лек­ ции, литературно-музыкальные вечера, еженедельные вечера рисования с натуры. Предполагалось открыть лавку для тор­ говли художественными принадлежностями и «ателье-школу
для использования действительных членов и любителей».
В 1913 общество устроило выставку графики и фотовы­
ставку, в марте 1915 — выставку картин в пользу лазарета при штабе кавказского военного округа. В выставках участво­ вал И. Н. Занковский, Р. К. Зоммер, А. А. Сидоренко,
В. И. Склифосовский, Б. А. Фогель и др.
Общество приобретало работы для Тифлисского городского
музея. В частности, в сентябре 1915 на средства общества было закуплено около 60 работ одесских художников.","К. А. Горбачев, К. М. Занис, Р. К. Зоммер, А. С. Матиясевич, Г. П. Месхи, М. О. Микаэлян, Г. А. Милохов, А. Н. Мирзоев, М. И. Савенков, А. А. Сидоренко, Ф. Н. Ходорович, Б. Г. Шебуев, А. С. Шестаков",Официальное,"Устав Тифлисского общества изящных искусств. Тифлис, 1912. *1-я выставка картин в Храме Славы: Каталог. Тифлис, 1915.",Тифлис,Тбилиси,41.6938026,44.80151679999999
Товарищество вологодских художников,,1923,1932,"Товарищество основали В. В. Тимофеев и Н. М. Ширякин. Окончательно оно оформилось в 1928. Объеди­ няло художников Вологды, Великого Устюга, Сокола и Тотьмы. Идеологически сближалось с АХРР. Ставило целью «прибли­ зить живопись к народу; изображать рабочих,, крестьян, интел­ лигенцию, пользуясь достижениями реализма», а также вести борьбу с «футуристическим трюкачеством». Члены товарище­ ства занимались культурно-просветительной и педагогической работой в Художественном техникуме, выезжали в команди­ ровки на заводы, лесоучастки и в колхозы. Особое внимание уделялось изучению природы и старинной архитектуры Севера.
В мае 1928 в Вологодском областном музее состоялась выставка, в которой участвовали: Н. М. Алексеев, М. М. Алек­ сеева, А. К- Боровская, Н. Ф. Бочков, В. М. Быстров, Ф. М. Вах­ рушев, В. Р. Воскресенский, Н. П. Дмитриевский, С. Г. Жевто- ного, В. И. Котова, П. Л. Куликов, Ф. П. Куропатников, И. Л. Скородумов, В. А. Соколов, И. А. Тарабукин, В. В. Ти­ мофеев, Н. А. Тусов, Н. А. Шабанов, Н. М. Ширякин.
В 1932 деятельность товарищества прекратилась в связи с постановлением ЦК ВКП(б) «О перестройке литературно­ художественных организаций». В 1934 его бывшие члены объ­ единились с архангельскими художниками в Союз северных художников. В 1936 Союз провел первую краевую выставку в Архангельске.","В. В. Тимофеев, Н. М. Ширякин, Н. М. Алексеев, М. М. Алексеева, А. К. Боровская, Н. Ф. Бочков, В. М. Быстров, Ф. М. Вахрушев, В. Р. Воскресенский, Н. П. Дмитриевский, С. Г. Жевтоногов, В. И. Котова, П. Л. Куликов, Ф. П. Куропатников, И. Л. Скородумов, В. А. Соколов, И. А. Тарабукин, В. В. Тимофеев, Н. А. Тусов, Н. А. Шабанов, Н. М. Ширякин",Официальное,"Выставки, 266*
Каталог 1-й выставки картин и рисунков инициативной группы художников- вологжан при Гос. музее/Вступ. ст. Вологда, 1928.*
Мунин А. Художники-вологжане. Вологда, 1959. С. 147, 180—183. *Дьяконицын Л. Ф. Художник Н. П. Дмитриевский. Вологда, 1962. С. 20'.*
Воронова О. Художники Вологды. Л., 1979. С. 11—12.",Вологда,Вологда,59.21806649999999,39.8978052
Товарищество деятелей украинского пластического искусства,,1918,1919,"Общество было основано весной 1918 по ини­
циативе членов Киевского товарищества, преподавателей Ук­ раинской академии художеств и искусствоведов. Среди основа­ телей: А. К. Богомазов, Н. Г. Бурачек, М. А. Козик, Ф. С. Кра- сицкий, В. Г. Кричевский, Г. С. Крушевский, А. А. Мурашке, П. В. Носко, Г. Г. Павлуцкий, Н. А. Прахов, О. И. Судомора, К- Д. Трохименко, И. Ф. Хворостецкий и др.
В мае — июне 1918 общество устроило выставку, приуро­ ченную к открытию Всеукраинского съезда художников, кото­ рый состоялся 9—16 июня в помещении Украинской АХ.
В начале 1919 после установления в Киеве Советской власти многие члены общества вошли в Совет по делам искусств Наркомпроса УССР и участвовали в деятельности Профессио­ нального союза художников.","А. К. Богомазов, Н. Г. Бурачек, М. А. Козик, Ф. С. Красицкий, В. Г. Кричевский, Г. С. Крушевский, А. А. Мурашко, П. В. Носко, Г. Г. Павлуцкий, Н. А. Прахов, О. И. Судомора, К. Д. Трохименко, И. Ф. Хворостецкий",Официальное,"Выставки, 29 * Киев: Энциклопедический справочник. К, 1986. С. 439.",Киев,Киев,50.4503596,30.5245025
